Track,Year,Artist,Yearly Rank,Source,Prefix,CH,40,10,PK,Time
"""A"" - You're Adorable (The Alphabet Song)",1949,Tony Pastor & His Orchestra,110.0,h,1949_113,8.0,,,1.0,3:08
"""A"" - You're Adorable (The Alphabet Song)",1949,Jo Stafford & Gordon MacRae,43.0,h,1949_045,15.0,,,1.0,2:22
"""A"" - You're Adorable (The Alphabet Song)",1949,Buddy Kaye Quintet,281.0,h,1949_282,1.0,,,1.0,
"""A"" - You're Adorable (The Alphabet Song)",1949,Perry Como & Fontane Sisters,12.0,h,1949_012,15.0,,,2.0,2:25
(All Of A Sudden) My Heart Sings,1965,Mel Carter,308.0,a,1965_308,7.0,2.0,0.0,1.0,2:38
(All Of A Sudden) My Heart Sings,1959,Paul Anka,121.0,a,1959_121,17.0,13.0,0.0,2.0,2:58
(All of a Sudden) My Heart Sings,1945,Martha Stewart,181.0,h,1945_181,2.0,,,,
(All of a Sudden) My Heart Sings,1945,Johnnie Johnston,92.0,h,1945_092,1.0,,,,
(Did You Ever Get) That Feeling in the Moonlight,1945,Perry Como,117.0,h,1945_117,11.0,,,,2:54
(Did You Ever Get) That Feeling in the Moonlight,1946,Russ Morgan & His Orchestra,230.0,h,1946_233,1.0,,,,
(Ghost) Riders In The Sky,1961,Ramrods,244.0,a,1961_244,9.0,1.0,0.0,1.0,2:34
(Ghost) Riders In The Sky,1981,Outlaws,168.0,a,1981_168,15.0,4.0,0.0,1.0,3:29
(I Know) I'm Losing You,1971,Rod Stewart,176.0,a,1971_176,9.0,6.0,0.0,1.0,3:36
(I Know) I'm Losing You,1987,Uptown,341.0,a,1987_341,11.0,0.0,0.0,2.0,4:00
(I Know) I'm Losing You,1966,"Temptations, The",100.0,a,1966_100,10.0,8.0,2.0,1.0,2:26
(I Know) I'm Losing You,1970,Rare Earth,70.0,a,1970_070,14.0,11.0,3.0,1.0,3:38
(I Love You) For Sentimental Reasons,1946,King Cole Trio,8.0,h,1946_008,25.0,,,6.0,2:51
(I Love You) For Sentimental Reasons,1958,Sam Cooke,142.0,BS,1958_142,11.0,7.0,0.0,1.0,2:40
