Year,Yearly Rank,Source,Prefix,CH,40,10,PK,High,Verified,Artist,Artist Inverted,Featured,UnFeatured,Album,B-Side,Track,Time,Time Source,explicit,Time (Album),Artist ID,SYMBL,ReIssue,Label/Number,Media,Stereo (55-68),Pic Sleeve,Genre,Comments,Written By,Temp 1,Date Entered,Date Peaked,1st Week,2nd Week,3rd Week,4th Week,5th Week,6th Week,7th Week,8th Week,9th Week,10th Week,11th Week,12th Week,13th Week,14th Week,15th Week,16th Week,17th Week,18th Week,19th Week,20th Week,21st Week,22nd Week,23rd Week,24th Week,25th Week,26th Week,27th Week,28th Week,29th Week,30th Week,31st Week,32nd Week,33rd Week,34th Week,35th Week,36th Week,37th Week,38th Week,39th Week,40th Week,41st Week,42nd Week,43rd Week,44th Week,45th Week,46th Week,47th Week,48th Week,49th Week,50th Week,51st Week,52nd Week,53rd Week,54th Week,55th Week,56th Week,57th Week,58th Week,59th Week,60th Week,61st Week,62nd Week,63rd Week,64th Week,65th Week,66th Week,67th Week,68th Week,69th Week,70th Week,71st Week,72nd Week,73rd Week,74th Week,75th Week,76th Week,77th Week,78th Week,79th Week,80th Week,81st Week,82nd Week,83rd Week,84th Week,85th Week,86th Week,87th Week,88th Week,89th Week,90th Week,91st Week
2014,305.0,h,2014_081a,9.0,1.0,0.0,1.0,18,,Jennifer Lopez,"Lopez, Jennifer",Featuring Iggy Azalea,,Single,,Booty,3:29,,,,7075.0,,,Capitol Digital,DD,,,,,"C.M.Brown,A.Bryant,A.C.Perez,T.W.Pentz,L.D.Gittus,T.R.Wilson,D.Omerhodic,A.A.Kelly,C.Rooney,J.Lopez,B.Medina",260,2014-10-04,2014-10-04,18,45,71,81,85,80,,100,,94,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,305.0,,2014_081b,9.0,1.0,0.0,1.0,18,,Jennifer Lopez,"Lopez, Jennifer",Featuring Pitbull,,A.K.A. (Deluxe Version),,Booty,3:23,,,,7075.0,,,Capitol Digital,DD,,,,,"C.M.Brown,A.Bryant,A.C.Perez,T.W.Pentz,L.D.Gittus,T.R.Wilson,D.Omerhodic,A.A.Kelly,C.Rooney,J.Lopez,B.Medina",260,2014-10-04,2014-10-04,18,45,71,81,85,80,,100,,94,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,288.0,h,2014_155a,20.0,0.0,0.0,1.0,41,,Beyonce,Beyonce,Featuring Chimamanda Ngozi Adichie,,BEYONCE,,***Flawless,4:10,,,,1963.0,,,Parkwood Digital,DD,,,,,"B.Knowles,T.Nash,C.Hollis,R.Reel,R.Muhammad,O.T.Maraj,A.Benjamin,P.Brown,A.A.Patton",372,2014-09-13,2014-12-13,82,87,84,87,81,85,76,77,83,,,,,41,67,75,89,75,81,88,93,100,100,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,288.0,h,2014_155b,20.0,0.0,0.0,1.0,41,,Beyonce,Beyonce,Featuring Nicki Minaj,,BEYONCE (Platinum Edition),,***Flawless,4:10,,,,1963.0,,,Parkwood Digital,DD,,,,,"B.Knowles,T.Nash,C.Hollis,R.Reel,R.Muhammad,O.T.Maraj,A.Benjamin,P.Brown,A.A.Patton",372,2014-09-13,2014-12-13,82,87,84,87,81,85,76,77,83,,,,,41,67,75,89,75,81,88,93,100,100,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,35.0,h,2013_035,44.0,23.0,7.0,2.0,6,,Anna Kendrick,"Kendrick, Anna",,,More From Pitch Perfect OST,--,Cups (Pitch Perfect's When I'm Gone),2:07,,,,8274.0,,,Ume Digital,DD,,,,"First 12 weeks was 'Cups' (1:16) from the Pitch Perfect OST, from wk 13 it was the version from 'More From Pitch Perfect OST' a totally different remake of the song","A.P.Carter,L.Gerstein,D.Blackett,H.Tunstall-Behrens,J.Freeman",2460,2013-01-12,2013-08-17,93,81,68,66,64,66,76,89,85,85,85,95,88,81,81,85,59,60,52,44,36,30,27,22,18,17,13,10,10,9,8,6,6,9,14,18,16,18,23,24,30,38,34,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,35.0,h,2013_035a,44.0,23.0,7.0,2.0,6,,Anna Kendrick,"Kendrick, Anna",,,Pitch Perfect OST,,Cups,1:16,,,,8274.0,,,Ume Digital,DD,,,,RENAMER USE,"A.P.Carter,L.Gerstein,D.Blackett,H.Tunstall-Behrens,J.Freeman",,2013-01-12,2013-08-17,93,81,68,66,64,66,76,89,85,85,85,95,88,81,81,85,59,60,52,44,36,30,27,22,18,17,13,10,10,9,8,6,6,9,14,18,16,18,23,24,30,38,34,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,35.0,h,2013_035b,44.0,23.0,7.0,2.0,6,,Anna Kendrick,"Kendrick, Anna",,,More From Pitch Perfect OST,,Cups (Pitch Perfect's When I'm Gone),2:07,,,,8274.0,,,Ume Digital,DD,,,,RENAMER USE,"A.P.Carter,L.Gerstein,D.Blackett,H.Tunstall-Behrens,J.Freeman",,2013-01-12,2013-08-17,93,81,68,66,64,66,76,89,85,85,85,95,88,81,81,85,59,60,52,44,36,30,27,22,18,17,13,10,10,9,8,6,6,9,14,18,16,18,23,24,30,38,34,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,168.0,h,2013_168a,13.0,1.0,0.0,1.0,40,,Ke$ha,Ke$ha,Featuring will.i.am,,Single,,Crazy Kids,3:49,,,,8062.0,,,Kemosabe Digital,DD,,,,,"K.Sebert, W.Adams, L.Gottwald, B.Levin, H.Walter",558,2013-06-15,2013-08-03,59,61,62,59,53,49,41,40,43,52,58,81,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,168.0,h,2013_168b,13.0,1.0,0.0,1.0,40,,Ke$ha,Ke$ha,Featuring Juicy J,,Single,,Crazy Kids,3:49,,,,8062.0,,,Kemosabe Digital,DD,,,,,"K.Sebert, W.Adams, L.Gottwald, B.Levin, H.Walter",558,2013-06-15,2013-08-03,59,61,62,59,53,49,41,40,43,52,58,81,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,154.0,h,2012_154a,20.0,0.0,0.0,1.0,46,,LoveRance,LoveRance,Featuring IamSu & Skipper,,Single,,Up!,4:10,,xc,,8228.0,,,Studd Life Digital,DD,,,,,"R.Oliver,S.Williams,P.Cox",689,2012-03-17,2012-06-02,92,79,64,59,57,55,53,48,49,50,48,46,55,63,76,77,81,84,98,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
